"Geo Code","Geo Name","Line Number"
"2021A0011E5S","E5S",302066
"2021A0011E5T","E5T",303690
"2021A0011E5V","E5V",305314
"2021A0011E6A","E6A",306938
"2021A0011E6B","E6B",308562
"2021A0011E6C","E6C",310186
"2021A0011E6E","E6E",311810
"2021A0011E6G","E6G",313434
"2021A0011E6H","E6H",315058
"2021A0011E6J","E6J",316682
"2021A0011E6K","E6K",318306
"2021A0011E6L","E6L",319930
"2021A0011E7A","E7A",321554
"2021A0011E7B","E7B",323178
"2021A0011E7C","E7C",324802
"2021A0011E7E","E7E",326426
"2021A0011E7G","E7G",328050
"2021A0011E7H","E7H",329674
"2021A0011E7J","E7J",331298
"2021A0011E7K","E7K",332922
"2021A0011E7L","E7L",334546
"2021A0011E7M","E7M",336170
"2021A0011E7N","E7N",337794
"2021A0011E7P","E7P",339418
"2021A0011E8A","E8A",341042
"2021A0011E8B","E8B",342666
"2021A0011E8C","E8C",344290
"2021A0011E8E","E8E",345914
"2021A0011E8G","E8G",347538
"2021A0011E8J","E8J",349162
"2021A0011E8K","E8K",350786
"2021A0011E8L","E8L",352410
"2021A0011E8M","E8M",354034
"2021A0011E8N","E8N",355658
"2021A0011E8P","E8P",357282
"2021A0011E8R","E8R",358906
"2021A0011E8S","E8S",360530
"2021A0011E8T","E8T",362154
"2021A0011E9A","E9A",363778
"2021A0011E9B","E9B",365402
"2021A0011E9C","E9C",367026
"2021A0011E9E","E9E",368650
"2021A0011E9G","E9G",370274
"2021A0011E9H","E9H",371898
"2021A0011G0A","G0A",373522
"2021A0011G0C","G0C",375146
"2021A0011G0E","G0E",376770
"2021A0011G0G","G0G",378394
"2021A0011G0H","G0H",380018
"2021A0011G0J","G0J",381642
"2021A0011G0K","G0K",383266
"2021A0011G0L","G0L",384890
"2021A0011G0M","G0M",386514
"2021A0011G0N","G0N",388138
"2021A0011G0P","G0P",389762
"2021A0011G0R","G0R",391386
"2021A0011G0S","G0S",393010
"2021A0011G0T","G0T",394634
"2021A0011G0V","G0V",396258
"2021A0011G0W","G0W",397882
"2021A0011G0X","G0X",399506
"2021A0011G0Y","G0Y",401130
"2021A0011G0Z","G0Z",402754
"2021A0011G1B","G1B",404378
"2021A0011G1C","G1C",406002
"2021A0011G1E","G1E",407626
"2021A0011G1G","G1G",409250
"2021A0011G1H","G1H",410874
"2021A0011G1J","G1J",412498
"2021A0011G1K","G1K",414122
"2021A0011G1L","G1L",415746
"2021A0011G1M","G1M",417370
"2021A0011G1N","G1N",418994
"2021A0011G1P","G1P",420618
"2021A0011G1R","G1R",422242
"2021A0011G1S","G1S",423866
"2021A0011G1T","G1T",425490
"2021A0011G1V","G1V",427114
"2021A0011G1W","G1W",428738
"2021A0011G1X","G1X",430362
"2021A0011G1Y","G1Y",431986
"2021A0011G2A","G2A",433610
"2021A0011G2B","G2B",435234
"2021A0011G2C","G2C",436858
"2021A0011G2E","G2E",438482
"2021A0011G2G","G2G",440106
"2021A0011G2J","G2J",441730
"2021A0011G2K","G2K",443354
"2021A0011G2L","G2L",444978
"2021A0011G2M","G2M",446602
"2021A0011G2N","G2N",448226
"2021A0011G3A","G3A",449850
"2021A0011G3B","G3B",451474
"2021A0011G3C","G3C",453098
"2021A0011G3E","G3E",454722
"2021A0011G3G","G3G",456346
"2021A0011G3H","G3H",457970
"2021A0011G3J","G3J",459594
"2021A0011G3K","G3K",461218
"2021A0011G3L","G3L",462842
"2021A0011G3M","G3M",464466
"2021A0011G3N","G3N",466090
"2021A0011G3S","G3S",467714
"2021A0011G3Z","G3Z",469338
"2021A0011G4A","G4A",470962
"2021A0011G4R","G4R",472586
"2021A0011G4S","G4S",474210
"2021A0011G4T","G4T",475834
"2021A0011G4V","G4V",477458
"2021A0011G4W","G4W",479082
"2021A0011G4X","G4X",480706
"2021A0011G4Z","G4Z",482330
"2021A0011G5A","G5A",483954
"2021A0011G5B","G5B",485578
"2021A0011G5C","G5C",487202
"2021A0011G5H","G5H",488826
"2021A0011G5J","G5J",490450
"2021A0011G5L","G5L",492074
"2021A0011G5M","G5M",493698
"2021A0011G5N","G5N",495322
"2021A0011G5R","G5R",496946
"2021A0011G5T","G5T",498570
"2021A0011G5V","G5V",500194
"2021A0011G5X","G5X",501818
"2021A0011G5Y","G5Y",503442
"2021A0011G5Z","G5Z",505066
"2021A0011G6A","G6A",506690
"2021A0011G6B","G6B",508314
"2021A0011G6C","G6C",509938
"2021A0011G6E","G6E",511562
"2021A0011G6G","G6G",513186
"2021A0011G6H","G6H",514810
"2021A0011G6J","G6J",516434
"2021A0011G6K","G6K",518058
"2021A0011G6L","G6L",519682
"2021A0011G6P","G6P",521306
"2021A0011G6R","G6R",522930
"2021A0011G6S","G6S",524554
"2021A0011G6T","G6T",526178
"2021A0011G6V","G6V",527802
"2021A0011G6W","G6W",529426
"2021A0011G6X","G6X",531050
"2021A0011G6Y","G6Y",532674
"2021A0011G6Z","G6Z",534298
"2021A0011G7A","G7A",535922
"2021A0011G7B","G7B",537546
"2021A0011G7G","G7G",539170
"2021A0011G7H","G7H",540794
"2021A0011G7J","G7J",542418
"2021A0011G7K","G7K",544042
"2021A0011G7N","G7N",545666
"2021A0011G7P","G7P",547290
"2021A0011G7S","G7S",548914
"2021A0011G7T","G7T",550538
"2021A0011G7X","G7X",552162
"2021A0011G7Y","G7Y",553786
"2021A0011G7Z","G7Z",555410
"2021A0011G8A","G8A",557034
"2021A0011G8B","G8B",558658
"2021A0011G8C","G8C",560282
"2021A0011G8E","G8E",561906
"2021A0011G8G","G8G",563530
"2021A0011G8H","G8H",565154
"2021A0011G8J","G8J",566778
"2021A0011G8K","G8K",568402
"2021A0011G8L","G8L",570026
"2021A0011G8M","G8M",571650
"2021A0011G8N","G8N",573274
"2021A0011G8P","G8P",574898
"2021A0011G8T","G8T",576522
"2021A0011G8V","G8V",578146
"2021A0011G8W","G8W",579770
"2021A0011G8Y","G8Y",581394
"2021A0011G8Z","G8Z",583018
"2021A0011G9A","G9A",584642
"2021A0011G9B","G9B",586266
"2021A0011G9C","G9C",587890
"2021A0011G9H","G9H",589514
"2021A0011G9N","G9N",591138
"2021A0011G9P","G9P",592762
"2021A0011G9R","G9R",594386
"2021A0011G9T","G9T",596010
"2021A0011G9X","G9X",597634
"2021A0011H1A","H1A",599258
"2021A0011H1B","H1B",600882
"2021A0011H1C","H1C",602506
"2021A0011H1E","H1E",604130
"2021A0011H1G","H1G",605754
"2021A0011H1H","H1H",607378
"2021A0011H1J","H1J",609002
"2021A0011H1K","H1K",610626
"2021A0011H1L","H1L",612250
"2021A0011H1M","H1M",613874
"2021A0011H1N","H1N",615498
"2021A0011H1P","H1P",617122
"2021A0011H1R","H1R",618746
"2021A0011H1S","H1S",620370
"2021A0011H1T","H1T",621994
"2021A0011H1V","H1V",623618
"2021A0011H1W","H1W",625242
"2021A0011H1X","H1X",626866
"2021A0011H1Y","H1Y",628490
"2021A0011H1Z","H1Z",630114
"2021A0011H2A","H2A",631738
"2021A0011H2B","H2B",633362
"2021A0011H2C","H2C",634986
"2021A0011H2E","H2E",636610
"2021A0011H2G","H2G",638234
"2021A0011H2H","H2H",639858
"2021A0011H2J","H2J",641482
"2021A0011H2K","H2K",643106
"2021A0011H2L","H2L",644730
"2021A0011H2M","H2M",646354
"2021A0011H2N","H2N",647978
"2021A0011H2P","H2P",649602
"2021A0011H2R","H2R",651226
"2021A0011H2S","H2S",652850
"2021A0011H2T","H2T",654474
"2021A0011H2V","H2V",656098
"2021A0011H2W","H2W",657722
"2021A0011H2X","H2X",659346
"2021A0011H2Y","H2Y",660970
"2021A0011H2Z","H2Z",662594
"2021A0011H3A","H3A",664218
"2021A0011H3B","H3B",665842
"2021A0011H3C","H3C",667466
"2021A0011H3E","H3E",669090
"2021A0011H3G","H3G",670714
"2021A0011H3H","H3H",672338
"2021A0011H3J","H3J",673962
"2021A0011H3K","H3K",675586
"2021A0011H3L","H3L",677210
"2021A0011H3M","H3M",678834
"2021A0011H3N","H3N",680458
"2021A0011H3P","H3P",682082
"2021A0011H3R","H3R",683706
"2021A0011H3S","H3S",685330
"2021A0011H3T","H3T",686954
"2021A0011H3V","H3V",688578
"2021A0011H3W","H3W",690202
"2021A0011H3X","H3X",691826
